team_id,team_name,season_id,season_name,season_year,matches_played,total_goals_conceded,goals_conceded_per_game,clean_sheets,clean_sheet_pct,total_saves,saves_per_game,total_tackles,tackles_per_game,avg_tackles_won_pct,total_interceptions,interceptions_per_game,total_clearances,clearances_per_game,total_blocked_shots,blocked_shots_per_game,total_ball_recoveries,ball_recoveries_per_game,avg_aerial_duels_pct,avg_ground_duels_pct,avg_duels_won_pct,total_errors_lead_to_goal,total_errors_lead_to_shot
4901,Cracovia,23666,Ekstraklasa 19/20,19/20,37,40,1.08,11,29.7,98,2.65,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
3108,Śląsk Wrocław,23666,Ekstraklasa 19/20,19/20,37,46,1.24,7,18.9,152,4.11,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
3110,Górnik Zabrze,23666,Ekstraklasa 19/20,19/20,37,47,1.27,10,27.0,114,3.08,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
5065,MKS Korona Kielce,23666,Ekstraklasa 19/20,19/20,37,48,1.30,11,29.7,124,3.35,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
7913,KS Lechia Gdańsk,23666,Ekstraklasa 19/20,19/20,37,50,1.35,9,24.3,148,4.00,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
7691,Jagiellonia Białystok,23666,Ekstraklasa 19/20,19/20,37,51,1.38,11,29.7,109,2.95,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
3113,Zagłębie Lubin,23666,Ekstraklasa 19/20,19/20,37,53,1.43,7,18.9,121,3.27,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
3122,Wisła Płock,23666,Ekstraklasa 19/20,19/20,37,54,1.46,8,21.6,112,3.03,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
35268,Raków Częstochowa,23666,Ekstraklasa 19/20,19/20,37,56,1.51,9,24.3,139,3.76,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
3111,Wisła Kraków,23666,Ekstraklasa 19/20,19/20,37,56,1.51,11,29.7,126,3.41,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
5064,MZKS Arka Gdynia,23666,Ekstraklasa 19/20,19/20,37,57,1.54,8,21.6,171,4.62,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
3123,ŁKS Łódź,23666,Ekstraklasa 19/20,19/20,37,68,1.84,5,13.5,132,3.57,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
7918,Piast Gliwice,17361,Ekstraklasa 18/19,18/19,37,33,0.89,16,43.2,105,2.84,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
3106,Legia Warszawa,17361,Ekstraklasa 18/19,18/19,37,38,1.03,14,37.8,91,2.46,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
7913,KS Lechia Gdańsk,17361,Ekstraklasa 18/19,18/19,37,38,1.03,18,48.6,103,2.78,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
4901,Cracovia,17361,Ekstraklasa 18/19,18/19,37,43,1.16,12,32.4,103,2.78,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
3108,Śląsk Wrocław,17361,Ekstraklasa 18/19,18/19,37,45,1.22,10,27.0,94,2.54,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
3113,Zagłębie Lubin,17361,Ekstraklasa 18/19,18/19,37,48,1.30,9,24.3,98,2.65,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
