team_id_1,team_id_2,team_1_name,team_2_name,total_matches,team_1_wins,draws,team_2_wins,team_1_goals,team_2_goals,team_1_avg_goals,team_2_avg_goals,last_meeting_date,last_5_results
3111,3121,Wisła Kraków,Lech Poznań,32,7,10,15,27,47,0.84,1.47,2022-03-13,X (1-1) | 2 (0-5) | 2 (1-2) | 1 (1-0) | X (1-1)
3106,3111,Legia Warszawa,Wisła Kraków,32,17,8,7,48,31,1.50,0.97,2022-02-25,1 (2-1) | 2 (0-1) | X (0-0) | 1 (2-1) | 1 (3-1)
3117,7691,Pogoń Szczecin,Jagiellonia Białystok,31,10,10,11,37,40,1.19,1.29,2025-11-09,2 (1-2) | X (1-1) | X (1-1) | X (2-2) | 1 (2-1)
3117,7918,Pogoń Szczecin,Piast Gliwice,31,12,11,8,29,24,0.94,0.77,2025-10-03,1 (2-1) | 2 (1-2) | 1 (1-0) | 2 (0-2) | X (0-0)
3113,7918,Zagłębie Lubin,Piast Gliwice,31,7,11,13,29,42,0.94,1.35,2025-08-30,X (2-2) | 2 (0-1) | 2 (0-1) | 2 (0-2) | X (1-1)
3121,5065,Lech Poznań,MKS Korona Kielce,31,18,8,5,48,22,1.55,0.71,2025-08-16,X (1-1) | 1 (2-0) | 1 (3-2) | 2 (1-2) | 1 (1-0)
3113,7913,Zagłębie Lubin,KS Lechia Gdańsk,31,8,9,14,44,53,1.42,1.71,2025-08-15,1 (6-2) | 2 (1-3) | X (1-1) | 1 (3-1) | 2 (0-3)
3110,7913,Górnik Zabrze,KS Lechia Gdańsk,31,6,13,12,33,44,1.06,1.42,2025-07-20,1 (2-1) | 1 (2-1) | 2 (2-3) | X (1-1) | 2 (1-2)
3108,3111,Śląsk Wrocław,Wisła Kraków,31,13,7,11,37,31,1.19,1.00,2022-04-18,X (1-1) | 1 (5-0) | X (1-1) | 1 (3-1) | 1 (2-1)
3111,7913,Wisła Kraków,KS Lechia Gdańsk,31,12,10,9,50,34,1.61,1.10,2022-03-05,X (1-1) | X (2-2) | 2 (0-2) | 2 (1-3) | 2 (0-1)
3106,5065,Legia Warszawa,MKS Korona Kielce,30,21,5,4,65,29,2.17,0.97,2025-07-27,1 (2-0) | X (1-1) | 1 (1-0) | X (3-3) | 1 (1-0)
