team_id,team_name,season_id,season_name,season_year,last_5_results,points_last_5,wins_last_5,draws_last_5,losses_last_5,goals_for_last_5,goals_against_last_5,halftime_leading_count,halftime_leading_wins,halftime_leading_draws,halftime_leading_losses,halftime_leading_win_pct,conceded_first_count,points_after_conceding_first,points_pct_after_conceding_first
7691,Jagiellonia Białystok,29222,Ekstraklasa 20/21,20/21,WLLLL,3,1,0,4,6,9,8,5,2,1,62.5,26,27,34.6
7913,KS Lechia Gdańsk,29222,Ekstraklasa 20/21,20/21,LLDDL,2,0,2,3,5,8,9,3,5,1,33.3,23,26,37.7
3121,Lech Poznań,23666,Ekstraklasa 19/20,19/20,WDWWW,13,4,1,0,13,6,14,8,5,1,57.1,23,38,55.1
3122,Wisła Płock,23666,Ekstraklasa 19/20,19/20,LWDWW,10,3,1,1,8,3,12,7,4,1,58.3,29,39,44.8
7918,Piast Gliwice,23666,Ekstraklasa 19/20,19/20,LLWWW,9,3,0,2,5,3,12,7,3,2,58.3,22,21,31.8
3113,Zagłębie Lubin,23666,Ekstraklasa 19/20,19/20,DWDDW,9,2,3,0,9,4,14,6,6,2,42.9,30,28,31.1
4901,Cracovia,23666,Ekstraklasa 19/20,19/20,WDLDW,8,2,2,1,7,6,9,5,4,0,55.6,26,24,30.8
5064,MZKS Arka Gdynia,23666,Ekstraklasa 19/20,19/20,DDWWL,8,2,2,1,8,8,8,4,3,1,50.0,29,27,31.0
7691,Jagiellonia Białystok,23666,Ekstraklasa 19/20,19/20,LWLWD,7,2,1,2,5,11,13,4,7,2,30.8,26,34,43.6
3106,Legia Warszawa,23666,Ekstraklasa 19/20,19/20,DWWLL,7,2,1,2,5,5,14,10,3,1,71.4,23,32,46.4
35268,Raków Częstochowa,23666,Ekstraklasa 19/20,19/20,WLLDW,7,2,1,2,9,12,13,5,4,4,38.5,28,33,39.3
3117,Pogoń Szczecin,23666,Ekstraklasa 19/20,19/20,DWWLL,7,2,1,2,8,7,10,3,4,3,30.0,23,22,31.9
3110,Górnik Zabrze,23666,Ekstraklasa 19/20,19/20,DDWLD,6,1,3,1,6,6,9,5,3,1,55.6,27,32,39.5
5065,MKS Korona Kielce,23666,Ekstraklasa 19/20,19/20,WLWLL,6,2,0,3,6,7,7,5,2,0,71.4,26,19,24.4
3123,ŁKS Łódź,23666,Ekstraklasa 19/20,19/20,LWLDL,4,1,1,3,6,11,7,4,2,1,57.1,32,29,30.2
3111,Wisła Kraków,23666,Ekstraklasa 19/20,19/20,DLLDD,3,0,3,2,5,6,10,7,2,1,70.0,26,18,23.1
7913,KS Lechia Gdańsk,23666,Ekstraklasa 19/20,19/20,DLLDD,3,0,3,2,6,8,11,6,4,1,54.5,28,36,42.9
3108,Śląsk Wrocław,23666,Ekstraklasa 19/20,19/20,DLLLL,1,0,1,4,6,9,12,7,2,3,58.3,30,31,34.4
7918,Piast Gliwice,17361,Ekstraklasa 18/19,18/19,WWWDW,13,4,1,0,7,2,17,11,5,1,64.7,21,33,52.4
3113,Zagłębie Lubin,17361,Ekstraklasa 18/19,18/19,WDWWW,13,4,1,0,7,6,13,6,6,1,46.2,28,34,40.5
3108,Śląsk Wrocław,17361,Ekstraklasa 18/19,18/19,WDWDW,11,3,2,0,13,4,12,7,3,2,58.3,27,33,40.7
